invoice_number,deduction_amount,deduction_date,sku,deducted_qty,standard_customer,deduction_reason,billed_qty,net_price_per_qty,pod_shortage,customer_sign,carrier_sign,subject_to_count,validation_status,invalid_reason,invalid_amount,valid_amount,RCA,Recommendations,warehouse,region,carrier
10215,2173.53,7/1/2024,SKU135,1,BJ's,OSD,2,21.03,3,yes,yes,no,valid,,0,2173.53,,,WH3,East,Fedex
10215,2482.46,7/1/2024,SKU120,50,Dollar General,OSD,55,97.51,4,yes,yes,no,partially invalid,pod supports partial shortages,1246.8,1235.66,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH1,Northwest,Fedex
10215,87.4,7/1/2024,SKU147,20,Supervalu,OSD,21,40.54,3,yes,yes,no,invalid,unit_of_measurement,87.4,0,Unit of Measurement,Create a master table to map all SKUs with the unit of measurement and educate the customer to follow the table for orders and deductions,WH3,West,Fedex
10215,2032.4,7/1/2024,SKU108,49,Supervalu,OSD,49,10.02,0,yes,yes,no,invalid,pod does not support shortages,2032.4,0,Combined Shipment,Contact the customer and check if they have mixed it with another order.,WH4,East,Fedex
10235,2323.48,7/1/2024,SKU104,1,Meijer,OSD,5,61.28,3,yes,yes,no,partially invalid,pod supports partial shortages,1024.91,1298.57,Combined Shipment,Contact the customer and check if they have mixed it with another order.,WH2,Southeast,Fedex
10235,4188.99,7/1/2024,SKU138,24,Costco,OSD,27,96.93,4,yes,yes,no,invalid,pod does not support shortages,4188.99,0,Order Split,Notify the customers if their order is going in multiple shipments in advance to avoid this.,WH3,East,Fedex
10235,1661.79,7/1/2024,SKU145,26,Target,OSD,28,97.35,3,yes,yes,no,partially invalid,pod supports partial shortages,498.16,1163.63,Load Sequencing,Contact the warehouse and they need to fix the issue with the carrier,WH1,Northwest,Fedex
10235,3087.91,7/1/2024,SKU100,41,Meijer,OSD,41,44.89,1,yes,yes,no,partially invalid,pod supports partial shortages,1886.03,1201.88,Combined Shipment,Contact the customer and check if they have mixed it with another order.,WH3,West,Fedex
10235,2680.37,7/1/2024,SKU134,31,Kroger,OSD,34,88.7,2,yes,yes,no,invalid,pod does not support shortages,2680.37,0,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH3,Midwest,Fedex
11171,1504.22,7/1/2024,SKU106,11,Meijer,OSD,15,70.41,4,yes,yes,no,valid,,0,1504.22,,,WH2,Southwest,Fedex
