invoice_number,deduction_amount,deduction_date,sku,deducted_qty,standard_customer,deduction_reason,billed_qty,net_price_per_qty,pod_shortage,customer_sign,carrier_sign,subject_to_count,validation_status,invalid_reason,invalid_amount,valid_amount,RCA,warehouse,region
14183,3138.24,2/18/2025,SKU135,27,Costco,OSD,27,46.63,3,yes,yes,no,partially invalid,load sequencing,2632.01,506.23,Load Sequencing,WH1,Northwest
14550,3199.69,6/24/2025,SKU120,47,Costco,OSD,51,68.71,2,yes,yes,no,valid,,0,3199.69,,WH2,Southwest
12653,1479.82,4/5/2025,SKU147,32,Kroger,OSD,33,33.86,3,yes,yes,no,invalid,combined shipment,1479.82,0,Combined Shipment,WH3,Midwest
10332,3553.9,12/22/2024,SKU108,42,Kroger,OSD,46,69.18,3,yes,yes,no,partially invalid,order split,1769.19,1784.71,Order Split,WH2,Northeast
11047,3003.36,11/16/2024,SKU104,5,Costco,OSD,9,92.98,0,yes,yes,no,invalid,price mismatch,3003.36,0,Price Mismatch,WH2,Northeast
12619,4440.05,4/21/2025,SKU138,22,Walmart,OSD,26,18.33,2,yes,yes,no,partially invalid,load sequencing,799.82,3640.23,Load Sequencing,WH2,Northeast
12135,3767.59,1/13/2025,SKU145,28,Supervalu,OSD,29,53.31,1,yes,yes,no,valid,,0,3767.59,,WH1,East
10783,2548.45,7/29/2024,SKU100,3,Target,OSD,8,68.91,4,yes,yes,no,valid,,0,2548.45,,WH3,Southeast
11757,4193.78,10/19/2024,SKU134,26,Supervalu,OSD,30,53.08,3,yes,yes,no,invalid,product substitution,4193.78,0,Product Substitution,WH4,Northwest
10991,647.76,10/4/2024,SKU106,34,BJ's,OSD,37,74.02,3,yes,yes,no,partially invalid,load sequencing,441.78,205.98,Load Sequencing,WH3,Northwest
14219,2749.25,4/30/2025,SKU132,41,Target,OSD,42,67.4,5,yes,yes,no,valid,,0,2749.25,,WH2,Northeast
10814,3120.36,2/23/2025,SKU111,2,Target,OSD,6,43.37,3,yes,yes,no,valid,,0,3120.36,,WH3,Southwest
14789,4381.32,8/21/2024,SKU120,41,Amazon,OSD,45,70.34,1,yes,yes,no,partially invalid,load sequencing,671.96,3709.36,Load Sequencing,WH1,Southwest
